User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Rate (kW),Charging Cost (USD),Time of Day,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Charging Duration,State of Charge (Change %),Charging Rate kW
User_1,BMW i3,108.4630074,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573,36.38918057,13.08771679,Evening,29.37157598,86.11996244,293.6021106,27.94795306,2.0,DC Fast Charger,Commuter,39.0,56.74838645999999,93.40360881538462
User_2,Hyundai Kona,100.0,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.3392752,30.67773494,21.12844793,Morning,10.11577764,84.66434363,112.1128037,14.31102566,3.0,Level 1,Casual Driver,121.0,74.54856599,6.118648859504132
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.1288757,27.51359256,35.66727042,Morning,6.854604444,69.91761524,71.79925293,21.00200184,2.0,Level 2,Commuter,168.0,63.063010796,6.831741321428571
User_4,Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.45782399,32.88286976,13.03623883,Evening,83.12000296,99.62432763,199.5777845,38.31631316,1.0,Level 1,Long-Distance Traveler,222.0,16.504324670000003,21.47508756486486
User_5,Hyundai Kona,50.0,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.62910417,10.21571207,10.16147117,Morning,54.25894969,63.74378604,203.6618466,-7.834199027,1.0,Level 1,Long-Distance Traveler,106.0,9.484836350000002,11.110813681132077
User_6,Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.18113714,14.33452278,36.90034078,Evening,75.21774834,71.98228757,143.6800461,-5.274217797,0.0,DC Fast Charger,Long-Distance Traveler,130.0,-3.235460770000003,19.929755603076924
User_7,Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.86213999,26.18518786,22.21422518,Evening,60.75178076,70.7960969,81.33800891,27.55133468,4.0,Level 2,Commuter,113.0,10.044316139999992,19.572817693805312
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761686,26.70290777,9.796821321,Afternoon,56.20170303,63.78681533,116.5431658,-4.417459666,0.0,Level 2,Long-Distance Traveler,222.0,7.585112300000006,13.910166718918918
User_9,Chevy Bolt,62.0,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.59237228,14.29492293,32.46500507,Evening,33.46620026,92.9614209,208.2597425,22.51670643,4.0,Level 1,Commuter,81.0,59.49522063999999,32.29064613333333
User_10,Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.86860745,11.76099972,21.31230245,Morning,27.39945463,70.05338138,54.0063092,27.51201936,2.830381307,DC Fast Charger,Commuter,224.0,42.653926750000004,21.125519852678572
